iter	Passed	Remaining
589	3707	2576
590	3712	2569
591	3721	2565
592	3741	2568
593	3750	2563
594	3756	2557
595	3764	2551
596	3772	2546
597	3781	2542
598	3790	2537
599	3797	2531
600	3803	2525
601	3812	2520
602	3821	2516
603	3833	2513
604	3842	2508
605	3850	2503
606	3861	2500
607	3870	2495
608	3878	2490
609	3887	2485
610	3894	2479
611	3901	2473
612	3909	2467
613	3917	2462
614	3933	2462
615	3944	2458
616	3951	2453
617	3960	2448
618	3970	2443
619	3979	2439
620	3993	2437
621	4000	2431
622	4008	2425
623	4017	2420
624	4025	2415
625	4032	2409
626	4039	2403
627	4047	2397
628	4056	2392
629	4062	2386
630	4067	2378
631	4073	2371
632	4077	2364
633	4082	2356
634	4087	2349
635	4091	2341
636	4097	2335
637	4114	2334
638	4120	2328
639	4128	2322
640	4136	2316
641	4144	2310
642	4150	2304
643	4160	2299
644	4167	2293
645	4175	2288
646	4185	2283
647	4192	2277
648	4200	2271
649	4243	2285
650	4268	2288
651	4288	2288
652	4314	2292
653	4327	2289
654	4332	2282
655	4337	2274
656	4343	2267
657	4349	2260
658	4358	2255
659	4366	2249
660	4372	2242
661	4378	2235
662	4385	2229
663	4391	2222
664	4397	2215
665	4436	2224
666	4453	2223
667	4462	2217
668	4471	2212
669	4479	2206
670	4487	2200
671	4494	2193
672	4501	2187
673	4509	2181
674	4516	2174
675	4523	2168
676	4531	2161
677	4540	2156
678	4547	2149
679	4553	2143
680	4558	2135
681	4563	2127
682	4570	2121
683	4575	2114
684	4580	2106
685	4585	2099
686	4590	2091
687	4595	2084
688	4600	2076
689	4605	2069
690	4609	2061
691	4615	2054
692	4619	2046
693	4625	2039
694	4630	2032
695	4635	2024
696	4639	2017
697	4644	2009
698	4649	2002
699	4654	1994
700	4659	1987
701	4664	1980
702	4675	1975
703	4682	1968
704	4687	1961
705	4692	1954
706	4697	1946
707	4702	1939
708	4707	1932
709	4712	1924
710	4727	1921
711	4735	1915
712	4743	1909
713	4751	1903
714	4757	1896
715	4766	1890
716	4774	1884
717	4784	1879
718	4792	1872
719	4802	1867
720	4811	1861
721	4819	1855
722	4826	1849
723	4830	1841
724	4839	1835
725	4847	1829
726	4855	1823
727	4860	1816
728	4865	1808
729	4869	1801
730	4874	1793
731	4892	1791
732	4898	1784
733	4903	1777
734	4910	1770
735	4915	1763
736	4920	1755
737	4925	1748
738	4930	1741
739	4935	1733
740	4939	1726
741	4944	1719
742	4949	1711
743	4954	1704
744	4959	1697
745	4964	1690
746	4968	1682
747	4974	1675
748	4978	1668
749	4983	1661
750	4988	1654
751	4994	1646
752	4998	1639
753	5003	1632
754	5009	1625
755	5015	1618
756	5020	1611
757	5026	1604
758	5031	1597
759	5044	1593
760	5053	1586
761	5060	1580
762	5067	1574
763	5076	1568
764	5084	1561
765	5093	1555
766	5101	1549
767	5108	1543
768	5116	1536
769	5125	1531
770	5133	1524
771	5140	1518
772	5144	1510
773	5150	1503
774	5154	1496
775	5159	1489
776	5163	1482
777	5169	1475
778	5174	1467
779	5179	1460
780	5184	1453
781	5189	1446
782	5194	1439
783	5199	1432
784	5203	1425
785	5209	1418
786	5213	1411
787	5219	1404
788	5223	1396
789	5229	1390
790	5234	1383
791	5239	1376
792	5244	1368
793	5249	1362
794	5255	1355
795	5260	1348
796	5266	1341
797	5270	1334
798	5276	1327
799	5280	1320
800	5285	1313
801	5290	1306
802	5295	1299
803	5300	1292
804	5305	1285
805	5309	1278
806	5315	1271
807	5319	1264
808	5325	1257
809	5327	1249
810	5332	1242
811	5337	1235
812	5341	1228
813	5347	1222
814	5353	1215
815	5357	1208
816	5365	1201
817	5369	1194
818	5376	1188
819	5383	1181
820	5387	1174
821	5393	1167
822	5397	1160
823	5402	1154
824	5407	1147
825	5412	1140
826	5417	1133
827	5422	1126
828	5427	1119
829	5430	1112
830	5435	1105
831	5440	1098
832	5457	1094
833	5465	1087
834	5473	1081
835	5481	1075
836	5489	1069
837	5497	1062
838	5506	1056
839	5513	1050
840	5523	1044
841	5534	1038
842	5543	1032
843	5552	1026
844	5559	1019
845	5566	1013
846	5570	1006
847	5579	1000
848	5585	993
849	5590	986
850	5592	979
851	5598	972
852	5602	965
853	5608	958
854	5613	951
855	5617	944
856	5621	938
857	5627	931
858	5631	924
859	5636	917
860	5642	910
861	5652	904
862	5658	898
863	5662	891
864	5667	884
865	5676	878
866	5681	871
867	5686	864
868	5690	857
869	5696	851
870	5700	844
871	5705	837
872	5710	830
873	5716	824
874	5721	817
875	5726	810
876	5733	804
877	5737	797
878	5743	790
879	5747	783
880	5752	777
881	5757	770
882	5763	763
883	5767	756
884	5850	760
885	5903	759
886	5910	752
887	5917	746
888	5925	739
889	5935	733
890	5943	727
891	5952	720
892	5959	714
893	5966	707
894	5976	701
895	5988	695
896	5993	688
897	5997	681
898	6002	674
899	6007	667
900	6012	660
901	6017	653
902	6021	646
903	6026	639
904	6031	633
905	6036	626
906	6041	619
907	6045	612
908	6051	605
909	6055	598
910	6060	592
911	6065	585
912	6070	578
913	6076	571
914	6082	565
915	6088	558
916	6101	552
917	6109	545
918	6117	539
919	6125	532
920	6132	526
921	6139	519
922	6149	513
923	6157	506
924	6163	499
925	6171	493
926	6179	486
927	6187	480
928	6191	473
929	6197	466
930	6201	459
931	6206	452
932	6211	446
933	6217	439
934	6222	432
935	6228	425
936	6233	419
937	6237	412
938	6244	405
939	6249	398
940	6254	392
941	6259	385
942	6264	378
943	6269	371
944	6274	365
945	6279	358
946	6284	351
947	6289	345
948	6294	338
949	6299	331
950	6304	324
951	6312	318
952	6316	311
953	6322	304
954	6328	298
955	6334	291
956	6338	284
957	6344	278
958	6351	271
959	6358	264
960	6363	258
961	6368	251
962	6373	244
963	6377	238
964	6382	231
965	6387	224
966	6392	218
967	6397	211
968	6402	204
969	6418	198
970	6425	191
971	6432	185
972	6441	178
973	6448	172
974	6456	165
975	6464	158
976	6471	152
977	6479	145
978	6488	139
979	6497	132
980	6511	126
981	6519	119
982	6526	112
983	6533	106
984	6541	99
985	6548	92
986	6552	86
987	6558	79
988	6562	72
989	6567	66
990	6572	59
991	6578	53
992	6582	46
993	6587	39
994	6591	33
995	6597	26
996	6601	19
997	6606	13
998	6611	6
999	6616	0
